category,topic,content
Routing,Route optimization basics,"Route optimization aims to find the shortest or fastest sequence of stops. Key algorithms include Nearest Neighbor (greedy), Clarke-Wright Savings, and Genetic Algorithms. For urban logistics with time windows, VRPTW (Vehicle Routing Problem with Time Windows) solvers are industry standard."
Routing,Time window compliance,Time windows are customer-specified delivery slots. Hard windows (must arrive within slot) vs soft windows (penalty for violation). Best practice: plan buffer time of 10-15 min per stop. Sort stops by earliest deadline first when feasible.
Routing,Last-mile delivery challenges,"Last-mile delivery accounts for 53% of total logistics cost. Urban challenges include parking restrictions, narrow lanes, and traffic signals. Solutions: micro-fulfillment centers, electric cargo bikes for inner city, slot-based delivery appointments."
Routing,Multi-stop route planning,"For routes with 10+ stops, consider splitting by zone/cluster first, then optimize within each zone. Use geographic clustering (k-means or density-based) to group nearby stops before applying TSP heuristics."
Fleet,Vehicle capacity planning,Match vehicle capacity to cargo volume + weight. Rule: load vehicles to 80-85% capacity to allow for returns and ad-hoc pickups. Refrigerated trucks add 15-20% fuel cost. Always check axle weight limits for heavy cargo.
Fleet,Driver hours regulations,"In India, Motor Transport Workers Act limits driving to 9 hours/day with mandatory 30-min break after 5 hours. Maximum 48 hours/week. Maintain driver logs for compliance. Fatigue-related accidents peak between 2-6 AM and 2-4 PM."
Fleet,Fuel cost estimation,"Average fuel consumption: trucks 4-6 km/L, vans 10-14 km/L. Fuel cost per km: truck ₹18-25, van ₹8-12. Include idle time (1L/hour idling). GPS route optimization typically reduces fuel costs by 15-20%."
Documentation,E-way bill requirements,"E-way bill required for interstate goods movement >₹50,000. Generate on GST portal before dispatch. Valid for 1 day per 100 km distance. Carry bill of lading, delivery challan, and tax invoice. Customs stop? Bring advance authorization."
Documentation,Customs clearance process,"Import customs: file Bill of Entry within 30 days of vessel arrival. Required: Invoice, packing list, Bill of Lading, Import Export Code. Customs examines 15-20% of shipments. Pre-clearance (prior to arrival) reduces dwell time by 60%."
Documentation,Proof of delivery (POD),"POD must include: recipient name, signature, date/time, item count confirmation. Digital POD via mobile app is legally valid. Capture geo-tagged photo at delivery. POD disputes: retain for 3 years. Undelivered items: return-to-origin protocol."
Scheduling,Delivery slot optimization,Cluster time-sensitive deliveries (High priority) in morning slots (8-11 AM) when traffic is lighter. Schedule Customs and Warehouse stops mid-morning. Meetings should be confirmed 24 hours in advance. Allow 20% buffer in schedule for delays.
Scheduling,Dynamic re-routing,"When delays occur: (1) identify impacted downstream stops, (2) notify customers proactively, (3) check if stops can be swapped or rescheduled, (4) escalate critical stops. Live traffic APIs (HERE, Google Maps) can trigger automatic rerouting."
Compliance,Hazardous materials transport,"Hazmats require ADG/IMDG compliant packaging, MSDS documentation, trained driver with HAZMAT certification. Separate from food/pharma cargo. Report spills immediately to SPCB. Insurance cover must explicitly include hazardous cargo."
Compliance,Cold chain management,Pharma/perishable cold chain: maintain 2-8°C (pharma) or 0-4°C (food). IoT temperature loggers must record every 15 min. Break in cold chain must be documented and reported. Pre-cool truck 2 hours before loading.
Performance,KPI benchmarks for logistics,"Industry benchmarks: On-time delivery >92%, Order accuracy >99.5%, Cost per delivery <₹150 (urban), Vehicle utilization >80%, First attempt delivery success >85%. Track daily. Weekly review with routing team improves KPIs by 10-15%."
Performance,Reducing delivery failures,"Top failure causes: wrong address (22%), customer unavailable (38%), business closed (15%), access issues (12%). Mitigations: address validation at order entry, pre-delivery SMS/call, flexible re-delivery slots, OTP-based confirmation."
Technology,GPS and telematics,"GPS tracking enables real-time vehicle location, speed monitoring, and geofencing alerts. Telematics data: harsh braking, acceleration, idling reduce maintenance cost by 12%. Integration with TMS enables automatic ETA updates to customers."
Technology,TMS integration,"Transport Management Systems (TMS) automate: rate shopping, load optimization, carrier booking, document generation, and invoice reconciliation. ROI typically realized in 6-12 months. API integration with WMS and ERP is essential for end-to-end visibility."
Emergency,Breakdown protocol,"Vehicle breakdown: (1) Safe stop with hazard lights, (2) Notify dispatcher immediately, (3) Arrange replacement vehicle or tow, (4) Transfer priority cargo, (5) Update all affected customers, (6) File incident report within 4 hours. Keep emergency kit: reflectors, first aid, fire extinguisher."
Emergency,Cargo damage claims,"Cargo damage: document with photos at delivery, note on POD, notify insurer within 24 hours. File claim with carrier within 3 days. Required: photos, POD with damage noted, original invoice, packing list. Settlement: replacement value or repair cost, whichever lower."
