stop_id,route_id,location_name,lat,lon,stop_type,priority,status,delay_reason,scheduled_date,time_window_start,time_window_end,service_duration_min,cargo_weight_kg,cargo_type,contact_person,notes
STP-000001,RT-100,Thane Depot,19.2183,72.9781,Meeting,Medium,Delayed,Vehicle breakdown,2024-01-10,2024-01-10 07:00,2024-01-10 10:30,45,0,Textiles,Rajesh Singh,
STP-000002,RT-100,Lonavala Transit Stop,18.7515,73.4061,Delivery,Medium,On Time,,2024-01-13,2024-01-13 13:00,2024-01-13 15:30,15,851,Auto Parts,Sunita Rao,Call 30 min before arrival
STP-000003,RT-100,Pimpri Depot,18.6298,73.7997,Meeting,Low,On Time,,2024-02-21,2024-02-21 08:30,2024-02-21 10:00,45,0,FMCG,Manish Gupta,
STP-000004,RT-100,Andheri Distribution Hub,19.1196,72.8464,Delivery,High,On Time,,2024-01-10,2024-01-10 14:30,2024-01-10 16:00,15,1117,Documents,Ramesh Kumar,Gate closes at 17:00
STP-000005,RT-100,Bhiwandi Mega Depot,19.2979,73.0586,Customs,Low,Scheduled,,2024-03-03,2024-03-03 09:30,2024-03-03 12:00,60,0,Electronics,Rajesh Singh,
STP-000006,RT-100,Dadar Warehouse,19.0178,72.8478,Delivery,Medium,On Time,,2024-02-24,2024-02-24 14:30,2024-02-24 17:00,15,455,Electronics,Santosh Reddy,Call 30 min before arrival
STP-000007,RT-100,Uran Customs Terminal,18.8921,72.9448,Warehouse,High,Cancelled,,2024-03-08,2024-03-08 14:00,2024-03-08 18:00,30,174,Documents,Rajesh Singh,Gate closes at 17:00
STP-000008,RT-100,Panvel Port Gate,18.9894,73.1175,Meeting,Medium,Delayed,Customer not available,2024-01-16,2024-01-16 10:00,2024-01-16 13:00,45,0,Perishables,Santosh Reddy,Parking available
STP-000009,RT-100,Hadapsar Export Unit,18.5089,73.9259,Customs,Medium,Delayed,Weather delay,2024-02-03,2024-02-03 12:30,2024-02-03 14:00,60,0,Auto Parts,Priya Nair,Gate closes at 17:00
STP-000010,RT-100,Navi Mumbai Logistics,19.033,73.0297,Delivery,Medium,On Time,,2024-03-09,2024-03-09 08:00,2024-03-09 10:30,15,724,Electronics,Amit Tiwari,Temperature controlled
STP-000011,RT-100,Hinjewadi Tech Zone,18.5912,73.7389,Pickup,High,Scheduled,,2024-03-24,2024-03-24 11:00,2024-03-24 15:30,10,222,FMCG,Vinod Yadav,Gate closes at 17:00
