stop_id,route_id,location_name,lat,lon,stop_type,priority,status,delay_reason,scheduled_date,time_window_start,time_window_end,service_duration_min,cargo_weight_kg,cargo_type,contact_person,notes
STP-2024001,RT-100,Kalyan Junction,19.19328,73.102364,Delivery,Low,Delayed,Traffic congestion,2024-03-09,2024-03-09 10:00,2024-03-09 12:00,15,1044,Textiles,Ramesh Kumar,Temperature controlled
STP-2024002,RT-100,Badlapur Storage,19.119766,73.249661,Meeting,Medium,Scheduled,,2024-04-07,2024-04-07 10:30,2024-04-07 13:00,45,0,Pharmaceuticals,Rajesh Singh,Temperature controlled
STP-2024003,RT-100,Uran Customs Terminal,18.915073,72.948423,Delivery,High,Scheduled,,2024-04-24,2024-04-24 08:30,2024-04-24 11:30,15,1898,Auto Parts,Suresh Patil,High security zone
STP-2024004,RT-100,Talegaon Distribution,18.711939,73.633579,Meeting,Low,Delayed,Driver illness,2024-03-13,2024-03-13 12:00,2024-03-13 16:00,45,0,FMCG,Suresh Patil,
STP-2024005,RT-100,Powai Tech Park,19.132404,72.916913,Pickup,Low,Delayed,Customs hold,2024-03-23,2024-03-23 09:00,2024-03-23 12:30,10,360,Textiles,Anil Sharma,Requires forklift
STP-2024006,RT-101,Bhiwandi Mega Depot,19.328405,73.048716,Pickup,Low,Scheduled,,2024-03-21,2024-03-21 10:00,2024-03-21 14:00,10,145,FMCG,Santosh Reddy,Parking available
STP-2024007,RT-101,Kurla Sorting Center,19.049074,72.891059,Meeting,Medium,Delayed,Document missing,2024-03-17,2024-03-17 14:00,2024-03-17 16:00,45,0,Textiles,Deepak Mehta,Parking available
STP-2024008,RT-101,Mulund Cold Storage,19.138598,72.973948,Rest,High,On Time,,2024-04-18,2024-04-18 14:00,2024-04-18 16:00,20,0,Textiles,Suresh Patil,
STP-2024009,RT-101,Vashi Distribution,19.102188,73.03436,Meeting,Medium,Delayed,Document missing,2024-04-25,2024-04-25 11:00,2024-04-25 15:00,45,0,Pharmaceuticals,Suresh Patil,High security zone
STP-2024010,RT-101,Airoli Customs,19.140544,73.012995,Delivery,High,Scheduled,,2024-04-18,2024-04-18 11:00,2024-04-18 15:00,15,1257,FMCG,Rajesh Singh,Parking available
STP-2024011,RT-102,Uran Customs Terminal,18.878398,72.993332,Delivery,Low,On Time,,2024-03-21,2024-03-21 07:30,2024-03-21 11:00,15,1662,Pharmaceuticals,Anil Sharma,Call 30 min before arrival
STP-2024012,RT-102,Mulund Cold Storage,19.170128,72.96088,Customs,Low,On Time,,2024-04-01,2024-04-01 08:00,2024-04-01 12:00,60,0,Pharmaceuticals,Manish Gupta,
STP-2024013,RT-102,Kurla Sorting Center,19.074558,72.8447,Customs,Low,On Time,,2024-03-20,2024-03-20 10:30,2024-03-20 14:30,60,0,FMCG,Suresh Patil,Parking available
STP-2024014,RT-102,Dadar Warehouse,18.970941,72.830843,Meeting,Medium,On Time,,2024-03-05,2024-03-05 10:00,2024-03-05 12:00,45,0,Textiles,Anil Sharma,High security zone
STP-2024015,RT-102,Dombivli Pickup Point,19.174893,73.081405,Pickup,Medium,On Time,,2024-04-20,2024-04-20 14:30,2024-04-20 16:30,10,877,Auto Parts,Kavita Joshi,Call 30 min before arrival
STP-2024016,RT-103,Dombivli Pickup Point,19.184221,73.083161,Meeting,Medium,On Time,,2024-04-16,2024-04-16 07:30,2024-04-16 10:00,45,0,Auto Parts,Rajesh Singh,High security zone
STP-2024017,RT-103,Bhiwandi Mega Depot,19.340537,73.09347,Delivery,Low,Cancelled,,2024-03-07,2024-03-07 14:00,2024-03-07 18:00,15,350,Auto Parts,Kavita Joshi,
STP-2024018,RT-103,Kurla Sorting Center,19.101313,72.861125,Customs,Low,Scheduled,,2024-03-01,2024-03-01 09:30,2024-03-01 12:30,60,0,Perishables,Manish Gupta,
STP-2024019,RT-103,Navi Mumbai Logistics,19.041418,73.029985,Delivery,Medium,On Time,,2024-04-17,2024-04-17 07:00,2024-04-17 11:30,15,1756,Textiles,Rajesh Singh,Call 30 min before arrival
STP-2024020,RT-103,Hinjewadi Tech Zone,18.630229,73.713522,Delivery,High,On Time,,2024-04-25,2024-04-25 08:00,2024-04-25 12:30,15,1227,Electronics,Santosh Reddy,Gate closes at 17:00
STP-2024021,RT-104,Airoli Customs,19.123788,73.01365,Meeting,Medium,On Time,,2024-03-14,2024-03-14 12:30,2024-03-14 15:00,45,0,Auto Parts,Priya Nair,Gate closes at 17:00
STP-2024022,RT-104,Dadar Warehouse,19.002701,72.804679,Pickup,Low,On Time,,2024-04-04,2024-04-04 08:00,2024-04-04 10:30,10,510,Pharmaceuticals,Vinod Yadav,Requires forklift
STP-2024023,RT-104,Bhiwandi Mega Depot,19.261329,73.020143,Warehouse,Low,Scheduled,,2024-04-22,2024-04-22 07:30,2024-04-22 11:00,30,229,Perishables,Manish Gupta,Requires forklift
STP-2024024,RT-104,Powai Tech Park,19.158416,72.86108,Delivery,Medium,On Time,,2024-04-13,2024-04-13 12:30,2024-04-13 14:30,15,1309,Auto Parts,Vinod Yadav,Call 30 min before arrival
STP-2024025,RT-104,Dadar Warehouse,18.975324,72.886111,Delivery,High,Delayed,Traffic congestion,2024-04-17,2024-04-17 11:30,2024-04-17 13:30,15,1861,FMCG,Manish Gupta,Call 30 min before arrival
STP-2024026,RT-105,Talegaon Distribution,18.762612,73.71167,Pickup,Medium,Scheduled,,2024-03-03,2024-03-03 13:30,2024-03-03 15:30,10,1850,Pharmaceuticals,Anil Sharma,Temperature controlled
STP-2024027,RT-105,Dombivli Pickup Point,19.262821,73.119377,Delivery,Low,Scheduled,,2024-04-17,2024-04-17 13:00,2024-04-17 17:00,15,1815,Auto Parts,Ramesh Kumar,Requires forklift
STP-2024028,RT-105,Panvel Port Gate,19.009528,73.105754,Customs,Low,On Time,,2024-04-25,2024-04-25 13:00,2024-04-25 17:30,60,0,Electronics,Kavita Joshi,Temperature controlled
